implementation,size,mean_time,std_time,min_time,max_time,n_runs
pure_python,10000,0.004866741597652435,0.0002904768380524283,0.004431125009432435,0.00540187512524426,10
numpy,10000,8.239566814154387e-05,2.304549844030164e-05,6.562517955899239e-05,0.0001385828945785761,10
numba,10000,6.14499906077981e-05,3.0910681100401495e-05,4.1082967072725296e-05,0.00014758296310901642,10
multiprocessing,10000,4.787477533426136,1.1269963805711463,2.6162027921527624,6.515680958982557,10
multithreading,10000,0.002578508388251066,0.001099815684370001,0.001372458878904581,0.005402332870289683,10
pure_python,100000,0.05943106680642814,0.013318772727307698,0.044929416850209236,0.09251316706649959,10
numpy,100000,0.0008093873970210552,0.0003411312265103041,0.0006152079440653324,0.0018154168501496315,10
numba,100000,0.0004202541662380099,3.793152328238256e-05,0.0003898749127984047,0.0005074590444564819,10
multiprocessing,100000,4.322265999950469,0.35035849276754955,3.987208707956597,5.267976375063881,10
multithreading,100000,0.0028061622055247427,0.00036751756803206234,0.0023470409214496613,0.0035999580286443233,10
pure_python,500000,0.25400746695231646,0.015665323183957733,0.2224882091395557,0.2889907080680132,10
numpy,500000,0.0038232872728258373,0.00021095074741283687,0.0035755420103669167,0.004348250105977058,10
numba,500000,0.002314491686411202,0.00013653336909505879,0.0022076249588280916,0.0026623329613357782,10
multiprocessing,500000,4.359651549928822,0.5113096886985902,3.7730252910405397,5.570708708139136,10
multithreading,500000,0.0045920749427750705,0.000565651835214337,0.0036965408362448215,0.005618707975372672,10
pure_python,1000000,0.49097906667739155,0.06729207309434801,0.44155220896936953,0.6358182078693062,10
numpy,1000000,0.007519683497957885,0.00018293985598414472,0.007263249950483441,0.007863375125452876,10
numba,1000000,0.004583229217678309,0.00010601635514387398,0.004430042114108801,0.004776624962687492,10
multiprocessing,1000000,4.588048150017857,0.8060621323406747,3.8485753340646625,6.2878251660149544,10
multithreading,1000000,0.007248720852658153,0.0007765419765760577,0.006228958955034614,0.008735499810427427,10
